# Gnuplot File : positions of 8 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 1 2 3 4 5 6 7 
0.41	0 0 -0.186949 0.997833 0.0177342 0	0 0 0.0197169 0.999266 -0.032265 0	0 0 0.197585 0.993219 -0.0635905 0	0 0 0.344411 0.987158 -0.0763527 0	0 0 0.45968 0.985002 -0.0732761 0	0 0 0.548631 0.986945 -0.0603086 0	0 0 0.623987 0.990607 -0.0456438 0	0 0 0.703039 0.99313 -0.0367447 0	
0.42	0 0 -0.192611 0.997794 0.0176132 0	0 0 0.0158466 0.999368 -0.0321452 0	0 0 0.195441 0.993184 -0.0637156 0	0 0 0.343753 0.98682 -0.0770834 0	0 0 0.460028 0.984365 -0.0748259 0	0 0 0.549368 0.986133 -0.062696 0	0 0 0.624596 0.989747 -0.0486754 0	0 0 0.7033 0.992257 -0.0400757 0	
0.43	0 0 -0.198221 0.997759 0.0174616 0	0 0 0.0119394 0.999475 -0.0319914 0	0 0 0.193183 0.993166 -0.0637602 0	0 0 0.34293 0.986506 -0.0777165 0	0 0 0.460205 0.983742 -0.0762992 0	0 0 0.549977 0.985313 -0.0650615 0	0 0 0.625147 0.988855 -0.0517499 0	0 0 0.703557 0.991332 -0.0434928 0	
0.44	0 0 -0.203777 0.997728 0.0172806 0	0 0 0.00799823 0.999587 -0.0318042 0	0 0 0.19081 0.993165 -0.0637262 0	0 0 0.34194 0.986217 -0.0782545 0	0 0 0.460208 0.983137 -0.0776974 0	0 0 0.550456 0.984489 -0.0674035 0	0 0 0.625638 0.987932 -0.0548617 0	0 0 0.703811 0.990356 -0.0469872 0	
0.45	0 0 -0.209272 0.997702 0.0170716 0	0 0 0.00402559 0.999702 -0.0315842 0	0 0 0.188323 0.993181 -0.0636158 0	0 0 0.340782 0.985954 -0.0787003 0	0 0 0.460037 0.982551 -0.0790223 0	0 0 0.550804 0.983662 -0.0697205 0	0 0 0.626067 0.98698 -0.0580049 0	0 0 0.70406 0.989331 -0.0505502 0	
0.46	0 0 -0.214704 0.99768 0.0168358 0	0 0 2.39941e-05 0.999823 -0.0313318 0	0 0 0.185723 0.993213 -0.0634313 0	0 0 0.339456 0.985717 -0.079057 0	0 0 0.45969 0.981985 -0.0802757 0	0 0 0.551017 0.982835 -0.0720111 0	0 0 0.626435 0.986002 -0.0611742 0	0 0 0.704305 0.988258 -0.0541729 0	
0.47	0 0 -0.220068 0.997664 0.0165748 0	0 0 -0.00400417 0.999947 -0.0310479 0	0 0 0.18301 0.993263 -0.0631751 0	0 0 0.33796 0.985507 -0.0793279 0	0 0 0.459164 0.981443 -0.0814598 0	0 0 0.551097 0.982011 -0.0742742 0	0 0 0.62674 0.984999 -0.064364 0	0 0 0.704545 0.987139 -0.0578464 0	
0.48	0 0 -0.225361 0.997653 0.0162901 0	0 0 -0.0080567 1.00007 -0.0307332 0	0 0 0.180187 0.993329 -0.0628498 0	0 0 0.336295 0.985325 -0.0795162 0	0 0 0.458461 0.980924 -0.0825769 0	0 0 0.551041 0.981191 -0.0765087 0	0 0 0.626982 0.983974 -0.0675687 0	0 0 0.704781 0.985977 -0.0615619 0	
0.49	0 0 -0.23058 0.997648 0.0159833 0	0 0 -0.0121315 1.00021 -0.0303885 0	0 0 0.177253 0.993412 -0.0624581 0	0 0 0.334462 0.985171 -0.0796257 0	0 0 0.457581 0.980431 -0.0836295 0	0 0 0.550851 0.980377 -0.0787137 0	0 0 0.62716 0.982929 -0.0707831 0	0 0 0.705011 0.984772 -0.0653106 0	
0.5	0 0 -0.235723 0.997649 0.0156559 0	0 0 -0.0162264 1.00034 -0.0300149 0	0 0 0.17421 0.993511 -0.062003 0	0 0 0.33246 0.985045 -0.0796601 0	0 0 0.456523 0.979965 -0.0846201 0	0 0 0.550526 0.979573 -0.0808884 0	0 0 0.627277 0.981866 -0.0740017 0	0 0 0.705235 0.983528 -0.0690837 0	
0.51	0 0 -0.240787 0.997657 0.0153098 0	0 0 -0.0203397 1.00048 -0.0296134 0	0 0 0.171059 0.993626 -0.0614875 0	0 0 0.330292 0.984948 -0.0796231 0	0 0 0.455288 0.979527 -0.0855513 0	0 0 0.550068 0.978778 -0.0830318 0	0 0 0.62733 0.980788 -0.0772193 0	0 0 0.705455 0.982247 -0.0728727 0	
0.52	0 0 -0.24577 0.997671 0.0149467 0	0 0 -0.0244696 1.00062 -0.0291852 0	0 0 0.167802 0.993757 -0.0609149 0	0 0 0.327959 0.984879 -0.0795189 0	0 0 0.453879 0.979117 -0.0864259 0	0 0 0.549478 0.977996 -0.0851433 0	0 0 0.627322 0.979697 -0.0804307 0	0 0 0.705668 0.980932 -0.076669 0	
0.53	0 0 -0.250672 0.997693 0.0145684 0	0 0 -0.0286144 1.00077 -0.0287316 0	0 0 0.164442 0.993902 -0.0602885 0	0 0 0.325462 0.984839 -0.0793515 0	0 0 0.452297 0.978737 -0.0872466 0	0 0 0.548757 0.977228 -0.087222 0	0 0 0.627253 0.978594 -0.0836307 0	0 0 0.705877 0.979584 -0.0804642 0	
0.54	0 0 -0.25549 0.997721 0.0141768 0	0 0 -0.0327725 1.00091 -0.028254 0	0 0 0.160978 0.994063 -0.0596119 0	0 0 0.322804 0.984827 -0.0791251 0	0 0 0.450544 0.978387 -0.0880161 0	0 0 0.547907 0.976475 -0.0892671 0	0 0 0.627123 0.977483 -0.0868143 0	0 0 0.706079 0.978207 -0.0842502 0	
